Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
Wong Kar-Wai's Informal Collection,3,32268129.0,246584904.67
Drunken Master Collection,3,0.0,11666666.67
The Blue Lagoon collection,3,61660960.0,0.0
Alex Cross Collection,3,196059666.0,0.0
I Know What You Did Last Summer Collection,3,165588246.0,0.0
The Sandlot Collection,3,32416586.0,9203624.33
Carnosaur Collection,3,1753979.0,1587445.67
Cinderella Collection,3,263591415.0,17765522.33
The Little Mermaid Collection,3,222300000.0,1366666.67
The Lord of the Rings Collection,3,2916544743.0,3345796.67
Addams Family Collection,3,240421469.0,0.0
Ocean's Collection,3,1124774054.0,0.0
Parent Trap Collection,3,0.0,0.0
Mimic Collection,3,25480490.0,0.0
The Bad New Bears Collection,3,54427642.0,0.0
The Lord of the Rings Animated Collection,3,30471420.0,2161321.0
The Santa Clause Collection,3,447188544.0,0.0
Pee-wee's Collection,3,56062662.0,0.0
Blade Collection,3,415098928.0,0.0
Center Stage Collection,3,17200925.0,0.0
Three Colors Collection,3,0.0,65661748.67
National Lampoon’s Van Wilder Collection,3,44361991.0,1051448.67
Smokey and the Bandit Collection,3,198549004.0,0.0
Men In Black Collection,3,1655236118.0,8345965.67
The Three Mothers Collection,3,54947.0,172804822.33
The Brave Little Toaster Collection,3,0.0,0.0
Problem Child Collection,3,0.0,545581590.0
"Oh, God! Collection",3,41687243.0,0.0
The Gods Must Be Crazy Collection,3,60000000.0,0.0
Lost Boys Collection,3,32222567.0,0.0
Conan the Barbarian Collection,3,186062718.0,0.0
Beverly Hills Cop Collection,3,735534503.0,0.0
When a Stranger Calls Collection,3,66966987.0,0.0
Bridget Jones Collection,3,534085235.0,0.0
Legally Blonde Collection,3,266689521.0,0.0
Candyman Collection,3,39732693.0,39891791.67
Cannonball Run Collection,3,103335013.0,82389352.0
The Musketeers Collection,3,0.0,0.0
Look Who's Talking Collection,3,296000000.0,1047587.67
All Dogs Go to Heaven Collection,3,35720705.0,0.0
K-9 Collection,3,78247647.0,12695259.33
Zorro Collection,3,392688588.0,178247358.0
Basket Case Collection,3,0.0,0.0
Ghost in the Shell Collection,3,12077365.0,24729892.33
Poltergeist Collection,3,177340665.0,0.0
Cyborg Collection,3,10166459.0,0.0
Teenage Mutant Ninja Turtles (Original) Collection,3,322000000.0,34272414.33
The Skulls Collection,3,35007180.0,0.0
The Apu Collection,3,722579.0,2569122475.0
Warlock Collection,3,0.0,17534.67
Batman (DC Universe Animated) Collection,3,5617391.0,0.0
"Honey, I Shrunk the Kids Collection",3,281386624.0,0.0
Creepshow Collection,3,35028755.0,0.0
Witch Mountain Collection,3,36393000.0,0.0
"Monsters, Inc. Collection",3,1306375863.0,14614137.33
Re-Animator Collection,3,2023414.0,0.0
Alienation Trilogy,3,0.0,0.0
Joy Ride Collection,3,36642838.0,0.0
Wild Things Collection,3,67200000.0,0.0
The Mighty Ducks Collection,3,119317844.0,86569016.67
Predator Collection,3,281604679.0,18621574.33
Dexter Riley Collection,3,0.0,444928.67
The Godfather Collection,3,429375314.0,0.0
Major League Collection,3,83995773.0,0.0
Henry Fool Collection,3,1334786.0,0.0
Stuart Little Collection,3,470092173.0,22000668.0
Aladdin Collection,3,504050219.0,3558731.33
Slap Shot Collection,3,28000000.0,0.0
Naked Gun Collection,3,216819186.0,0.0
Cube Collection,3,501818.0,0.0
Free Willy Collection,3,153698625.0,2333333.33
Living Trilogy,3,0.0,24699982.67
The Slumber Party Massacre Collection,3,0.0,60644401.0
Care Bears Collection,3,2608000.0,63404485.0
Creature From The Black Lagoon (Universal Series),3,1300000.0,304919623.67
Barbershop Collection,3,195882105.0,10903141.0
Big Momma's House Collection,3,395833914.0,20882254.33
Teenage Apocalypse Trilogy,3,27354.0,93795541.33
Mexico Trilogy,3,125631947.0,21525205.33
Rush Hour Collection,3,849734899.0,1999588.33
Bad Boys Collection,3,414746580.0,0.0
The Neverending Story Collection,3,36442475.0,0.0
The Ring Collection,3,493881361.0,74890119.0
From Dusk Till Dawn Collection,3,25836616.0,0.0
Friday Collection,3,121570081.0,38732818.33
The Decline of Western Civilization Collection,3,0.0,104949663.0
Qatsi Collection,3,2326424.0,25628971.0
The Art of War Collection,3,30199105.0,0.0
The Mummy Collection,3,1250027401.0,277200853.67
Porky's Collection,3,180006429.0,3179632.33
Enter the Ninja Collection,3,13168027.0,8795333.33
The Matrix Collection,3,1627105295.0,5609848.33
Cruel Intentions Collection,3,75902208.0,0.0
The BRD Collection,3,0.0,4606060.33
Ace Ventura Collection,3,319602929.0,13615360.67
