,Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
393,The Hobbit Collection,3.0,2935523356.0,52129401.67
394,StreetDance Collection,3.0,18197477.0,0.0
395,Ip Man Collection,3.0,214733351.0,1865422.33
396,Rurouni Kenshin Live-Action Collection,3.0,61700000.0,0.0
397,Hanzo the Razor Collection,3.0,0.0,0.0
398,Beverly Hills Chihuahua Collection,3.0,161281606.0,0.0
399,Crows Collection,3.0,0.0,243917.67
400,The Sabata Collection,3.0,0.0,4389342.33
401,Cat Stevens y Hutch Bessy Trilogy,3.0,0.0,0.0
402,Death Race Collection,3.0,73762516.0,1502701.33
403,Resident Evil: Biohazard,3.0,0.0,17237163.67
404,The ABCs of Death Collection,3.0,28831.0,0.0
405,Death Note Collection,3.0,108734800.0,30840688.33
406,Sissi Collection,3.0,0.0,0.0
407,Rebuild of Evangelion,3.0,101873825.0,6666666.67
408,Pitch Perfect Collection,3.0,402856620.0,0.0
409,Spud Collection,3.0,0.0,11774348.0
410,Demonic Toys Collection,3.0,0.0,0.0
411,Insidious Collection,3.0,201313001.0,0.0
412,"Pane, amore e… - Collezione",3.0,0.0,23968.0
413,"Sarah, Plain and Tall Collection",3.0,0.0,0.0
414,The One-Armed Swordsman Collection,3.0,0.0,27675974.67
415,Easy Money Collection,3.0,0.0,2490434.67
416,Thor Collection,3.0,1093898020.0,6867905.0
417,Captain America Collection,3.0,2238640841.0,0.0
418,Tekken Collection,3.0,967000.0,0.0
419,The Smurfs (Theatrical) Collection,3.0,1108367047.0,0.0
420,The Expendables Collection,3.0,793216361.0,17407768.67
421,Rampage Collection,3.0,0.0,58064856.67
422,Trilogia Zé do Caixão,3.0,0.0,269780777.33
423,男はつらいよ シリーズ,3.0,0.0,206542494.0
424,Mega Shark Collection,3.0,0.0,0.0
425,Alpha and Omega Collection,3.0,39300000.0,0.0
426,The Human Centipede Collection,3.0,0.0,0.0
427,Planet of the Apes (Reboot) Collection,3.0,1563412714.0,0.0
428,Varg Veum Collection,3.0,0.0,0.0
429,Cold Prey Collection,3.0,0.0,0.0
430,The Worricker Collection,3.0,0.0,0.0
431,Sometimes They Come Back Collection,3.0,0.0,0.0
432,Xtro Collection,3.0,0.0,0.0
433,The Gruffalo Collection,3.0,0.0,0.0
434,Sharktopus Collection,3.0,0.0,55301563.67
435,The Incredible Hulk (TV Movie) Collection,3.0,0.0,0.0
436,Housefull Collection,3.0,0.0,0.0
437,The Purge Collection,3.0,316699354.0,219524.33
438,Stargate SG-1 Collection,3.0,8900000.0,0.0
439,The Blind Dead Collection,3.0,0.0,10903631.33
440,My Little Pony: Equestria Girls Collection,3.0,0.0,41769347.67
441,High School Musical Collection,3.0,7000000.0,316611207.33
442,Cars Collection,3.0,1372005602.0,0.0
443,Robert Langdon Collection,3.0,1344455157.0,0.0
444,Curious George Collection,3.0,69834815.0,201834219.67
445,20th Century Boys Collection,3.0,31244858.0,28467270.0
446,Troll Collection,3.0,5450815.0,656302141.67
447,Shark.Attack,3.0,0.0,5693389.0
448,Jungle Jim Collection,3.0,0.0,287.33
449,Hostel Collection,3.0,116198455.0,0.0
450,Charlie Chan (Roland Winters) Collection,3.0,0.0,0.0
451,BloodRayne Collection,3.0,2405420.0,0.0
452,The Chronicles of Narnia Collection,3.0,1584144587.0,31587949.33
453,Jarhead Collection,3.0,96889998.0,0.0
454,Mostly Ghostly Collection,3.0,0.0,0.0
455,I Spit on Your Grave Collection,3.0,573618.0,0.0
456,Goal! Collection,3.0,27610873.0,0.0
457,Green Street Hooligans Collection,3.0,3154346.0,0.0
458,Whistling Collection,3.0,0.0,0.0
459,Snow Queen Collection,3.0,12400000.0,0.0
460,Mr. Wong Collection,3.0,0.0,0.0
461,Whispering Corridors Collection,3.0,0.0,0.0
462,The Dark Knight Collection,3.0,2463716216.0,0.0
463,Lone Wolf film series,3.0,0.0,2246380.33
464,Ukraine Trilogy,3.0,0.0,0.0
465,The Ouija Experiment Collection,3.0,0.0,4000000.0
466,Trilogy of Life,3.0,0.0,0.0
467,Fantomas Collection,3.0,0.0,0.0
468,Krrish Collection,3.0,0.0,51232875.0
469,Jungledyret Hugo Collection,3.0,0.0,0.0
470,Night at the Museum Collection,3.0,1337011293.0,17881067.0
471,Dhoom Series,3.0,149396427.0,0.0
472,Taken Collection,3.0,928743298.0,40523360.33
473,Iron Man Collection,3.0,2424547547.0,154966181.33
474,Outpost Collection,3.0,0.0,8307412.33
475,Never Back Down Collection,3.0,41627431.0,9302007.0
476,Anders Matthesen,3.0,0.0,0.0
477,Zeitgeist Collection,3.0,0.0,8612205.33
478,Killjoy,3.0,0.0,0.0
479,Paradise Trilogy,3.0,37476.0,424739669.67
480,Hatchet Collection,3.0,52604.0,0.0
481,In the Name of the King Collection,3.0,0.0,0.0
482,Design Trilogy,3.0,0.0,0.0
483,One Piece Collection,3.0,119207073.0,2467160.0
484,Divergent Collection,3.0,763232964.0,0.0
485,The Disappearance Of Eleanor Rigby,3.0,985007.0,224781765.0
486,The Librarian Collection,3.0,0.0,0.0
487,Maniac Cop Collection,3.0,0.0,0.0
488,The 36th Chamber of Shaolin Collection,3.0,0.0,0.0
489,Flowers in the Attic Collection,3.0,0.0,1366666.67
490,Cocaine Cowboys,3.0,163000.0,0.0
491,Don Camillo Collection,3.0,0.0,0.0
492,Arthur and the Invisibles Collection,3.0,107944236.0,0.0
493,Feast Collection,3.0,658573.0,114168932.67
494,Department Q series,3.0,5900000.0,0.0
495,Son of Batman Collection,3.0,0.0,0.0
496,Super Giant Collection,3.0,0.0,0.0
497,A Golden Christmas Collection,3.0,0.0,0.0
498,Vabank (Collection),3.0,0.0,0.0
499,Toy Story Collection,3.0,1937890605.0,0.0
500,Paradise Lost Collection,3.0,0.0,125985249.33
501,Dracula 2000 Collection,3.0,33000337.0,4025788.33
502,Armour of God Collection,3.0,0.0,33734.33
503,Left Behind Collection,3.0,0.0,0.0
504,Wong Kar-Wai's Informal Collection,3.0,32268129.0,246584904.67
505,Drunken Master Collection,3.0,0.0,11666666.67
506,The Blue Lagoon collection,3.0,61660960.0,0.0
507,Alex Cross Collection,3.0,196059666.0,0.0
508,I Know What You Did Last Summer Collection,3.0,165588246.0,0.0
509,The Sandlot Collection,3.0,32416586.0,9203624.33
510,Carnosaur Collection,3.0,1753979.0,1587445.67
511,Cinderella Collection,3.0,263591415.0,17765522.33
